"t0","t1","t1_normalized","tweets_count","indicator"
2018-10-04 19:00:00, 2018-10-04 19:59:59, 2018-10-04 20:00:00, 6984, 0.142
2018-10-04 20:00:00, 2018-10-04 20:59:59, 2018-10-04 21:00:00, 6594, 0.112
2018-10-04 21:00:00, 2018-10-04 21:59:59, 2018-10-04 22:00:00, 6542, 0.108
2018-10-04 22:00:00, 2018-10-04 22:59:59, 2018-10-04 23:00:00, 5904, 0.104
2018-10-04 23:00:00, 2018-10-04 23:59:59, 2018-10-05 00:00:00, 5957, 0.153
2018-10-05 00:00:00, 2018-10-05 00:59:59, 2018-10-05 01:00:00, 5852, 0.139
2018-10-05 01:00:00, 2018-10-05 01:59:59, 2018-10-05 02:00:00, 6198, 0.147
2018-10-05 02:00:00, 2018-10-05 02:59:59, 2018-10-05 03:00:00, 6031, 0.133
2018-10-05 03:00:00, 2018-10-05 03:59:58, 2018-10-05 04:00:00, 6049, 0.161
2018-10-05 04:00:00, 2018-10-05 04:59:59, 2018-10-05 05:00:00, 6075, 0.151
2018-10-05 05:00:00, 2018-10-05 05:59:59, 2018-10-05 06:00:00, 5655, 0.162
2018-10-05 06:00:00, 2018-10-05 06:59:59, 2018-10-05 07:00:00, 6258, 0.154
2018-10-05 07:00:00, 2018-10-05 07:59:59, 2018-10-05 08:00:00, 7705, 0.136
2018-10-05 08:00:00, 2018-10-05 08:59:58, 2018-10-05 09:00:00, 6906, 0.150
2018-10-05 09:00:00, 2018-10-05 09:59:59, 2018-10-05 10:00:00, 6997, 0.153
2018-10-05 10:00:00, 2018-10-05 10:59:59, 2018-10-05 11:00:00, 7412, 0.134
2018-10-05 11:00:00, 2018-10-05 11:59:58, 2018-10-05 12:00:00, 8013, 0.152
2018-10-05 12:00:00, 2018-10-05 12:59:59, 2018-10-05 13:00:00, 8542, 0.133
2018-10-05 13:00:00, 2018-10-05 13:59:59, 2018-10-05 14:00:00, 8870, 0.150
2018-10-05 14:00:00, 2018-10-05 14:59:59, 2018-10-05 15:00:00, 8613, 0.128
2018-10-05 15:00:00, 2018-10-05 15:59:59, 2018-10-05 16:00:00, 8617, 0.152
2018-10-05 16:00:00, 2018-10-05 16:59:59, 2018-10-05 17:00:00, 7725, 0.150
2018-10-05 17:00:00, 2018-10-05 17:59:59, 2018-10-05 18:00:00, 7591, 0.146
2018-10-05 18:00:00, 2018-10-05 18:59:59, 2018-10-05 19:00:00, 8176, 0.197
2018-10-05 19:00:00, 2018-10-05 19:59:59, 2018-10-05 20:00:00, 6773, 0.129
