t0,t1,close_price_uṕ,close_price_variation,price_variation,volumefrom,pos
2018-09-30 07:31:59, 2018-09-30 07:32:59, true, 0.3109, 0.4401, 5.0723, true
2018-09-30 07:32:58, 2018-09-30 07:33:58, true, 0.0754, 0.4868, -3.0596, true
2018-09-30 07:33:58, 2018-09-30 07:34:58, true, 0.1159, 0.1921, -2.2117, true
2018-09-30 07:34:59, 2018-09-30 07:35:59, false, -0.0772, 0.1160, -0.7545, true
2018-09-30 07:35:59, 2018-09-30 07:36:59, true, 0.0126, 0.0161, -0.3467, true
2018-09-30 07:36:59, 2018-09-30 07:37:59, true, 0.1183, 0.1355, 0.0059, true
2018-09-30 07:37:59, 2018-09-30 07:38:59, true, 0.0204, 0.1360, -0.2199, true
2018-09-30 07:38:59, 2018-09-30 07:39:59, false, -0.0009, 0.0203, 0.0829, true
2018-09-30 07:39:59, 2018-09-30 07:40:59, false, -0.0168, 0.0090, 0.7881, true
2018-09-30 07:40:58, 2018-09-30 07:41:58, false, -0.0972, 0.0000, -0.4850, true
2018-09-30 07:41:59, 2018-09-30 07:42:59, false, -0.0086, 0.0278, -0.4700, true
2018-09-30 07:42:59, 2018-09-30 07:43:59, false, -0.0530, 0.0119, -0.0379, true
2018-09-30 07:43:58, 2018-09-30 07:44:58, true, 0.0528, 0.0536, 0.2291, true
2018-09-30 07:44:59, 2018-09-30 07:45:59, true, 0.0077, 0.0717, -0.2788, true
2018-09-30 07:45:59, 2018-09-30 07:46:59, true, 0.0395, 0.0606, 0.1054, true
2018-09-30 07:46:59, 2018-09-30 07:47:59, true, 0.0304, 0.0767, 0.0194, true
2018-09-30 07:47:59, 2018-09-30 07:48:59, false, -0.0265, 0.0338, 0.2898, true
2018-09-30 07:48:59, 2018-09-30 07:49:59, false, -0.0566, 0.0110, 0.0093, true
2018-09-30 07:49:59, 2018-09-30 07:50:59, false, -0.1096, 0.0023, -0.3367, true
2018-09-30 07:50:59, 2018-09-30 07:51:59, false, -0.0032, 0.0211, -0.1345, true
2018-09-30 07:51:59, 2018-09-30 07:52:59, true, 0.0096, 0.0111, 0.0792, true
2018-09-30 07:52:59, 2018-09-30 07:53:59, true, 0.0303, 0.0455, 0.0206, true
2018-09-30 07:53:59, 2018-09-30 07:54:59, true, 0.0271, 0.0813, 0.1079, true
2018-09-30 07:54:59, 2018-09-30 07:55:59, false, -0.0163, 0.0284, 0.6389, true
2018-09-30 07:55:59, 2018-09-30 07:56:59, true, 0.0012, 0.0035, -0.0951, true
2018-09-30 07:56:35, 2018-09-30 07:57:35, true, 0.0502, 0.0595, -0.7137, true
2018-09-30 06:57:59, 2018-09-30 06:58:59, true, 0.0021, 0.0699, 0.0234, true
2018-09-30 06:58:59, 2018-09-30 06:59:59, false, -0.0105, 0.0160, -0.0476, true
2018-09-30 06:59:59, 2018-09-30 07:00:59, false, -0.0076, 0.0079, 0.0421, true
2018-09-30 15:00:58, 2018-09-30 15:01:58, false, -0.0074, 0.0066, -0.0526, true
2018-09-30 15:01:59, 2018-09-30 15:02:59, true, 0.0059, 0.0073, -0.0018, true
2018-09-30 15:02:24, 2018-09-30 15:03:24, true, 0.0964, 0.1044, 0.0752, true
2018-09-30 14:03:56, 2018-09-30 14:04:56, true, 0.0136, 0.0284, -0.0948, true
2018-09-30 14:04:59, 2018-09-30 14:05:59, false, -0.0044, 0.0239, -0.0474, true
2018-09-30 14:05:59, 2018-09-30 14:06:59, false, -0.0057, 0.0035, -0.0521, true
2018-09-30 14:06:59, 2018-09-30 14:07:59, false, -0.0659, 0.0089, 0.0566, true
2018-09-30 14:07:59, 2018-09-30 14:08:59, false, -0.0077, 0.0006, -0.0347, true
2018-09-30 14:08:59, 2018-09-30 14:09:59, true, 0.0062, 0.0100, -0.0198, true
2018-09-30 14:09:58, 2018-09-30 14:10:58, true, 0.0107, 0.0216, 0.1849, true
2018-09-30 14:10:59, 2018-09-30 14:11:59, true, 0.0482, 0.0630, -0.0125, true
2018-09-30 14:11:59, 2018-09-30 14:12:59, true, 0.0168, 0.0765, -0.1339, true
2018-09-30 14:12:57, 2018-09-30 14:13:57, false, -0.0319, 0.0183, 0.1996, true
2018-09-30 14:13:59, 2018-09-30 14:14:59, true, 0.0177, 0.0211, -0.0672, true
2018-09-30 14:14:59, 2018-09-30 14:15:59, false, -0.0122, 0.0279, -0.1594, true
2018-09-30 14:15:59, 2018-09-30 14:16:59, true, 0.0732, 0.0914, 0.0514, true
2018-09-30 14:16:59, 2018-09-30 14:17:59, false, -0.0116, 0.0757, -0.0098, true
2018-09-30 14:17:59, 2018-09-30 14:18:59, false, -0.0072, 0.0045, -0.0208, true
2018-09-30 14:18:59, 2018-09-30 14:19:59, false, -0.0332, 0.0003, 0.1411, true
2018-09-30 14:19:59, 2018-09-30 14:20:59, false, -0.0278, 0.0017, -0.1220, true
2018-09-30 14:20:59, 2018-09-30 14:21:59, false, -0.0168, 0.0018, 0.0011, true
2018-09-30 14:21:59, 2018-09-30 14:22:59, false, -0.0541, 0.0015, 0.0113, true
2018-09-30 14:22:59, 2018-09-30 14:23:59, false, -0.0679, 0.0000, 0.7241, true
2018-09-30 14:23:59, 2018-09-30 14:24:59, false, -0.0301, 0.0150, -0.6732, true
2018-09-30 14:24:59, 2018-09-30 14:25:59, false, -0.0145, 0.0039, -0.0525, true
2018-09-30 14:25:59, 2018-09-30 14:26:59, false, -0.0248, 0.0015, 0.0808, true
2018-09-30 14:26:59, 2018-09-30 14:27:59, true, 0.0300, 0.0401, -0.0505, true
2018-09-30 14:27:58, 2018-09-30 14:28:58, false, -0.0054, 0.0262, 0.2376, true
2018-09-30 14:28:58, 2018-09-30 14:29:58, true, 0.0448, 0.0614, -0.0883, true
2018-09-30 14:29:58, 2018-09-30 14:30:58, false, -0.0407, 0.0470, -0.1617, true
2018-09-30 14:30:59, 2018-09-30 14:31:59, false, -0.0144, 0.0000, -0.0885, true
2018-09-30 14:31:59, 2018-09-30 14:32:59, false, -0.0230, 0.0126, 0.2600, true
2018-09-30 14:32:59, 2018-09-30 14:33:59, true, 0.0560, 0.0596, -0.2004, true
2018-09-30 14:33:59, 2018-09-30 14:34:59, false, -0.0097, 0.0608, 0.2131, true
2018-09-30 14:34:59, 2018-09-30 14:35:59, false, -0.0021, 0.0357, -0.1448, true
2018-09-30 14:35:59, 2018-09-30 14:36:59, true, 0.0751, 0.0761, -0.0213, true
2018-09-30 14:36:58, 2018-09-30 14:37:58, false, -0.0278, 0.0847, -0.0847, true
2018-09-30 14:37:59, 2018-09-30 14:38:59, true, 0.0342, 0.0482, 0.1664, true
2018-09-30 14:38:57, 2018-09-30 14:39:57, false, -0.0012, 0.0379, -0.1421, true
2018-09-30 14:39:58, 2018-09-30 14:40:58, false, -0.0054, 0.0127, 0.0596, true
2018-09-30 14:40:59, 2018-09-30 14:41:59, false, -0.0366, 0.0156, -0.0485, true
2018-09-30 14:41:59, 2018-09-30 14:42:59, false, -0.0106, 0.0067, 0.0915, true
2018-09-30 14:42:59, 2018-09-30 14:43:59, true, 0.0269, 0.0308, -0.0169, true
2018-09-30 14:43:58, 2018-09-30 14:44:58, true, 0.0388, 0.0593, 0.0296, true
2018-09-30 14:44:59, 2018-09-30 14:45:59, true, 0.0166, 0.0636, -0.0819, true
2018-09-30 14:45:59, 2018-09-30 14:46:59, true, 0.0744, 0.0987, 0.0343, true
2018-09-30 14:46:58, 2018-09-30 14:47:58, true, 0.0027, 0.0779, -0.0716, true
2018-09-30 14:47:59, 2018-09-30 14:48:59, false, -0.0364, 0.0160, 0.0270, true
2018-09-30 14:48:59, 2018-09-30 14:49:59, false, -0.0230, -0.0012, -0.0832, true
2018-09-30 14:49:59, 2018-09-30 14:50:59, false, -0.0080, 0.0051, 0.0479, true
2018-09-30 14:50:59, 2018-09-30 14:51:59, true, 0.0153, 0.0198, 0.1630, true
2018-09-30 14:51:59, 2018-09-30 14:52:59, true, 0.0038, 0.0193, -0.0965, true
2018-09-30 14:52:59, 2018-09-30 14:53:59, false, -0.0047, 0.0080, -0.0050, true
2018-09-30 14:53:58, 2018-09-30 14:54:58, false, -0.0104, 0.0360, 0.0178, true
2018-09-30 14:54:59, 2018-09-30 14:55:59, true, 0.0640, 0.0684, -0.0530, true
