@relation 'all-weka.filters.unsupervised.attribute.Remove-R1-2,4,7'

@attribute close_price_up {' true',' false'}
@attribute prive_variation numeric
@attribute volumeFrom numeric

@data
' true',0.0311,0.2118
' true',0.0663,0.1593
' true',0.049,-0.4986
' false',0.0048,0.2053
' false',0.0008,-0.1701
' false',0.0032,-0.1061
' true',0.0397,1.4042
' true',0.0425,-1.0972
' false',0.0186,0.3704
' false',0.0018,-0.0924
' false',0.0391,0.1186
' false',0.0446,-0.0938
' true',0.0045,-0.0953
' false',0.0207,0.0293
' false',0.0063,-0.2605
' true',0.0691,0.492
' false',0.0517,-0.5258
' true',0.0069,-0.0275
' false',0.0029,0.2134
' false',0.0158,-0.1725
' true',0.0371,-0.0036
' false',0.0437,0.0409
' true',0.0321,0.0964
' true',0.0656,0.079
' true',0.0769,0.1342
' true',0.1472,0.7004
' true',0.0748,-1.0011
' false',0.0178,-0.1137
' false',0.0043,0.0792
' true',0.0058,-0.0261
' true',0.0303,0.127
' true',0.0372,-0.0324
' true',0.0238,-0.1842
' true',0.0114,0.0541
' true',0.0343,0.1761
' false',0.0297,0.2555
' true',0.0079,-0.4174
' true',0.0081,0.395
' true',0.0177,-0.1702
' false',0.0085,-0.0661
' false',0.0039,1.2687
' true',0.0126,-1.2798
' false',0.0195,-0.173
' true',0.018,-0.0338
' true',0.0203,-0.0747
' true',0.0224,-0.0402
' false',0.0087,0.4283
' false',0.0063,0.0928
' false',0.02,-0.4165
' false',0.0093,0.0907
' false',0.0008,-0.1517
' false',0.003,0.1645
' false',-0.0017,-0.1917
' false',0.0027,0.021
' false',0.0114,-0.0068
' true',0.0078,0.0986
' false',0.0107,0.0113
' true',0.0201,0.2086
' true',0.0285,0.164
' true',0.0344,-0.2229
' false',0.0128,-0.0006
' true',0.0225,-0.1947
' true',0.0625,0.1531
' false',0.0384,0.1114
' false',0.0078,0.6159
' false',0.0251,-0.8346
' true',0.0425,0.1664
' false',0.0402,0.4801
' true',0.0194,-0.5909
' true',0.0191,-0.0761
' false',0.0053,-0.0312
' false',0.0005,0.1386
' false',0.0069,-0.0826
' false',0.0012,0.0285
' true',0.0086,-0.0066
' false',0.0054,0.0317
' false',0,-0.0566
' true',0.0084,-0.0466
' false',0.0075,-0.0317
' true',0.0042,0.0652
' true',0.0095,0.1565
' true',0.0219,-0.07
' true',0.0389,0.2864
' false',0.0027,-0.4016
' true',0.0276,0.1251
' true',0.0334,-0.0801
' true',0.0152,-0.0029
' false',0.0084,0.0201
' false',0.0173,-0.0587
' true',0.009,-0.0186
' false',0.0086,0.2522
' false',0.028,0.0005
' false',0.0077,-0.1004
' false',0,-0.0021
' false',0.0168,-0.135
' true',0.0098,0.0481
' false',0.0122,0.012
' false',0.0072,0.1104
' false',0.0051,0.1057
' false',0,0.0994
' true',0.0734,-0.324
' false',0.0768,-0.1266
' false',0.0107,0.4559
' false',0.0009,0.2317
' false',0.0041,-0.2105
' true',0.0327,-0.4412
' false',-0.0157,0.1739
' true',0.0283,-0.0891
' false',0.0301,0.0385
' true',0.0622,0.08
' false',0.0623,0.0552
' false',0.012,-0.1449
' true',0.0208,0.1219
' false',0.0214,-0.1723
' true',0.0054,0.0527
' true',0.0116,-0.087
' true',0.0074,0.0086
' true',0.0117,-0.0212
' false',0.0125,0.2178
' true',0.0775,-0.1548
' true',0.0811,-0.042
' true',0.0066,0.0134
' false',0.0027,-0.0008
' false',0.0051,0.0578
' true',0.0026,-0.1553
' true',0.0045,0.0695
' false',0.0027,-0.1175
' true',0.0045,0.1213
' true',0.0041,-0.0451
' false',0.0048,-0.0397
' true',0.006,0.0208
' false',0.0057,0.0518
' true',0.0027,0.0997
' true',0.0036,-0.0773
' true',0.0014,0.0069
' false',0.0075,-0.0459
' false',0.0039,0.1929
' true',0.015,-0.0424
' true',0.0215,-0.0376
' false',0.0074,0.0439
' true',0.0871,0.6559
' false',0.081,-0.7013
' false',0.0093,0.1019
' true',0.0072,0.4741
' false',0.0077,-0.6471
' true',0.0254,0.0168
' true',0.0165,0.0098
' false',0.0308,0.2826
' true',0.0274,-0.0159
' false',0.0272,-0.2935
' true',0.0063,0.0131
' false',0.0071,-0.0038
' false',0.0143,0.0621
' true',0.0215,-0.0939
' true',0.0209,-0.0011
' false',0.0075,-0.0505
' true',0.0192,0.3634
' true',0.0287,-0.3174
' true',0.0186,0.1489
' true',0.0144,-0.1466
' false',0.0071,0.0619
' false',0.0212,0.0727
' true',0.0294,0.0231
' true',0.0415,-0.0143
' true',0.0155,0.0769
' true',0.0189,-0.0093
' true',0.0201,-0.1153
' false',0.0141,-0.0431
' false',0.0086,-0.0906
' true',0.0089,-0.0087
' true',0.0194,0.2173
' false',0.0167,-0.085
' true',0.0123,0.3467
' false',0.0168,-0.4293
' false',0.0021,0.3155
' false',0.0075,-0.2967
' true',0.0144,-0.0065
' true',0.0131,0.023
' false',-0.0023,0.1775
' true',0.0012,-0.1676
' true',0.0185,0.138
' true',0.0174,-0.0964
' true',0.0113,-0.076
' false',0.0081,0.0114
' true',0.0039,-0.0668
' false',0.0125,0.0578
' false',0,0.1613
' false',0.0039,-0.1593
' false',0.009,-0.0026
' false',0.0008,0.1502
' true',0.0057,-0.073
' false',0.0039,-0.0191
' true',0.0261,-0.1183
' true',0.0312,0.2467
' false',0.0014,-0.2131
' false',0.0072,-0.0365
' false',0.0048,0.5328
' false',-0.0011,-0.5564
' false',0.0021,0.015
' true',0.015,-0.0239
' false',0.0144,0.1407
' false',0.0098,-0.0099
' false',-0.0063,-0.0171
' false',0,-0.038
' false',0.0011,0.4853
' true',0.0352,-0.3621
' false',0.0065,-0.0254
' false',0.0181,0.1011
' false',0.0002,-0.0967
' false',0.0084,0.0841
' false',0.0026,0.2116
' false',0.0191,-0.3808
' false',0.0014,0.0965
' false',0.0002,-0.1205
' true',0.0414,0.4662
' true',0.0884,-0.0126
' false',0.05,-0.2825
' false',0.0018,-0.0235
' true',0.0048,0.0601
' true',0.0158,-0.099
' true',0.0101,-0.0193
' false',0.0102,-0.045
' true',0.0081,0.1594
' true',0.126,-0.1268
' false',0.1174,0.0767
' true',0.0062,-0.0949
' false',0.0042,-0.0809
' true',0.0123,0.1506
' true',0.0281,-0.0461
' false',0.0177,0.0797
' false',0.0032,-0.0424
' false',0.0006,0.0588
' false',0.0054,-0.0338
' true',0.0075,-0.1076
' false',0.0035,-0.0241
' false',0.0271,0.0367
' false',0.0051,-0.054
' false',0.0041,0.0239
' true',0.0114,-0.0026
' false',0.0123,0.0998
' true',0.0081,-0.0575
' true',0.0254,-0.0444
' true',0.0322,-0.0846
' true',0.0086,0.2213
' false',0.0008,-0.1075
' true',0.1556,0.0677
' true',0.1582,0.0211
' true',0.006,0.0018
' true',0.0108,-0.0986
' true',0.0063,0.184
' true',0.0126,-0.064
' true',0.0436,0.1664
' true',0.023,-0.2113
' true',0.3224,8.6875
' false',0.3241,-7.5375
' false',0.0007,-0.9411
' true',0.0109,-0.1124
' false',0.0059,0.7164
' true',0.0143,-0.7354
' false',0.0128,-0.1164
' false',-0.0021,0.0918
' false',-0.0032,-0.0219
' true',0.0057,-0.1051
' true',0.0156,-0.0279
' true',0.0396,0.1844
' true',0.039,-0.0996
' true',0.0239,-0.043
' true',0.0168,0.09
' true',0.0972,0.8273
' true',0.104,-0.8678
' true',0.0316,0.1636
' true',0.015,-0.1426
' true',0.0106,-0.0819
' true',0.0189,0.3738
' true',0.0346,-0.0138
' false',0.0159,-0.2348
' true',0.0205,0.2634
' true',0.0258,-0.3257
' false',0.0178,0.0201
' false',0.0036,0.1252
' false',0.0064,0.1462
' false',0.003,-0.0376
' true',0.0103,-0.1926
' true',0.0111,-0.0401
' true',0.0091,0.0632
' false',0.0034,-0.1397
' false',0.0027,0.2816
' false',0.007,-0.2114
' true',0.0063,0.2374
' true',0.0244,-0.2579
' true',0.0386,0.0141
' true',0.0517,1.0162
' false',0.0371,-1.0441
' true',0.0698,1.3516
' false',0.038,-0.9769
' false',0.0058,-0.3043
' false',0.0129,0.0177
' false',0,0.7635
' false',0.0034,2.5993
' false',0.0012,-3.1932
' true',0.0621,-0.1365
' true',0.0421,0.0649
' true',0.0327,0.2265
' true',0.0288,-0.331
' false',0.0264,-0.0105
' true',0.0103,-0.0735
' true',0.0154,0.1266
' true',0.0157,-0.1228
' false',0.0064,0.0001
' true',0.0087,-0.0776
' false',0.0111,0.2179
' false',0.0094,-0.0837
' false',0.001,0.0442
' false',0.0036,-0.2181
' false',0.006,-0.0324
' false',0,0.187
' true',0.0298,0.0303
' false',0.0352,0.27
' true',0.0048,-0.3414
' false',0.0015,-0.0816
' false',0.0081,0.0786
' false',0.0019,0.0301
' false',0.0033,-0.1401
' true',0.0067,0.0199
' true',0.0132,0.0811
' false',0.0045,0.1289
' false',0.0132,-0.1461
' true',0.0026,0.1856
' false',0.0033,-0.19
' true',0.005,0.0117
' false',0.0044,0.186
' false',0.0011,-0.2055
' false',0.0053,-0.047
' true',0.0056,0.0039
' false',0.0057,0.0684
' false',0.0053,-0.0131
' true',0.0165,0.3414
' true',0.0255,-0.1148
' true',0.1567,-0.2291
' false',0.1352,0.0009
' true',0.0196,-0.0955
' false',0.0226,-0.0256
' false',0.0028,0.4915
' true',0.0027,-0.345
' true',0.0046,-0.0628
' false',0.0085,-0.0055
' false',0,0.007
' true',0.0198,-0.0085
' true',0.0385,0.304
' true',0.0261,-0.2255
' false',0.0229,-0.0671
' false',0.0039,0.0676
' false',0.0033,-0.0316
' false',0,0.5076
' false',0.0112,0.0115
' false',0.004,-0.5427
' false',0.0031,0.1933
' false',0.0007,-0.1026
' false',0.0017,0.0569
' false',0.0018,-0.1041
' true',0.0374,-0.0677
' false',0.0092,0.0218
' true',0.0363,0.0178
' false',0.0459,0.0318
' true',0.0099,0.2716
' true',0.0238,-0.271
' false',0.0135,-0.1116
' false',0.004,-0.0391
' false',0.0008,0.1451
' true',0.0417,0.0943
' true',0.0792,0.3278
' false',0.0139,-0.3267
' true',0.0075,-0.1098
' false',0.0181,-0.0778
' false',0.0003,0.3567
' true',0.0193,-0.2011
' true',0.0196,0.0774
' false',0.0111,-0.0044
' false',0.0063,0.1291
' true',0.0392,-0.3239
' true',0.0315,-0.0914
' false',0.0156,0.0656
' false',0.0059,-0.0509
' false',0.0084,-0.047
' false',0.0077,0.0153
' true',0.0126,0.1037
' true',0.054,-0.0402
' false',0.0413,-0.0665
' false',0.0023,0.0059
' false',0.0006,0.0024
' false',0.0018,0.0671
' false',0.0083,-0.0104
' true',0.0062,0.2007
' false',0.0165,0.101
' true',0.0021,-0.1434
' true',0.1193,-0.1537
' false',0.1166,-0.0207
' true',0.0066,0.0509
' true',0.0095,0.039
' false',0.0143,0.193
' true',0.0017,-0.2229
' false',0.0134,0.0432
' true',0.0194,0.0392
' true',0.0278,0.0465
' false',0.0059,-0.0717
' true',0.0207,-0.0955
' false',0.0159,0.062
' false',0.0014,0.7772
' false',0.0308,-0.2148
' true',0.0252,-0.5205
' false',0.026,-0.0919
' true',0.0113,-0.0377
' false',0.0069,0.0162
' true',0.03,0.0314
' false',0.0009,0.1543
' true',0.0108,-0.0231
' false',0.0177,-0.0574
' true',0.0084,-0.0498
' false',0.0089,0.1817
' false',0.0005,0.1334
' false',0.0038,-0.1209
' true',0.0017,0.393
' true',0.0113,-0.5545
' false',0.0111,0.3059
' false',0.0014,0.0733
' true',0.0111,-0.3868
' true',0.0104,0.681
' false',0.0116,-0.4191
' false',0.0123,0.4928
' false',0.0074,-0.5917
' true',0.0063,-0.1802
' false',0.0045,0.5026
' false',0.0328,-0.4926
' false',0.0014,0.0959
' true',0.008,-0.0488
' false',0.0113,0.1733
' false',0.0071,0.0086
' false',0.003,0.0833
' false',-0.0009,0.4472
' true',0.0687,0.4939
' false',0.0516,-1.1774
' true',0.012,-0.1031
' true',0.0269,0.2131
' false',0.0828,0.4936
' true',0.0412,-0.6305
' true',0.0463,-0.0353
' false',0.0069,-0.0255
' true',0.0068,0.0093
' true',0.008,0.0252
' true',0.0272,-0.0072
' false',0.0171,0.0341
' false',0.0003,0.1504
' true',0.0286,-0.1698
' false',0.0262,-0.1034
' false',0.0015,-0.025
' false',0.0036,0.0568
' false',0.0008,0.0507
' true',0.034,0.0072
' false',0.0427,0.0026
' false',0.0102,0.0104
' true',0.0126,0.0586
' false',0.0156,0.014
' true',0.0223,0.0087
' false',0.0263,-0.1446
' false',0.0189,-0.0008
' true',0.0083,0.0455
' false',0.0051,0.0658
' false',0.025,0.5854
' false',0.0018,-0.1779
' false',0.0009,0.4373
' false',0.0062,-0.5123
' true',0.0271,-0.197
' false',0.0301,-0.1337
