t0,t1,t1_normalized,tweets_count,indicator
2018-10-16 23:00:00, 2018-10-16 23:59:48, 2018-10-17 00:00:00, 5055, 0.139
2018-10-17 00:00:00, 2018-10-17 00:59:59, 2018-10-17 01:00:00, 5593, 0.156
2018-10-17 01:00:00, 2018-10-17 01:59:59, 2018-10-17 02:00:00, 5536, 0.171
2018-10-17 02:00:00, 2018-10-17 02:59:59, 2018-10-17 03:00:00, 5774, 0.161
2018-10-17 03:00:00, 2018-10-17 03:59:44, 2018-10-17 04:00:00, 5963, 0.193
2018-10-17 04:00:00, 2018-10-17 04:59:45, 2018-10-17 05:00:00, 5786, 0.183
2018-10-17 05:00:00, 2018-10-17 05:59:59, 2018-10-17 06:00:00, 6050, 0.191
2018-10-17 06:00:01, 2018-10-17 06:59:28, 2018-10-17 07:00:01, 6295, 0.179
2018-10-17 07:00:00, 2018-10-17 07:59:57, 2018-10-17 08:00:00, 7070, 0.163
2018-10-17 08:00:00, 2018-10-17 08:59:59, 2018-10-17 09:00:00, 6764, 0.169
2018-10-17 09:00:00, 2018-10-17 09:59:53, 2018-10-17 10:00:00, 6609, 0.170
2018-10-17 10:00:00, 2018-10-17 10:59:59, 2018-10-17 11:00:00, 6903, 0.152
2018-10-17 11:00:00, 2018-10-17 11:59:59, 2018-10-17 12:00:00, 7241, 0.149
2018-10-17 12:00:00, 2018-10-17 12:59:59, 2018-10-17 13:00:00, 7301, 0.160
2018-10-17 13:00:00, 2018-10-17 13:59:59, 2018-10-17 14:00:00, 7331, 0.147
2018-10-17 14:00:01, 2018-10-17 14:59:59, 2018-10-17 15:00:01, 7378, 0.160
2018-10-17 15:00:00, 2018-10-17 15:59:59, 2018-10-17 16:00:00, 7528, 0.162
2018-10-17 16:00:00, 2018-10-17 16:59:59, 2018-10-17 17:00:00, 7011, 0.166
2018-10-17 17:00:00, 2018-10-17 17:59:40, 2018-10-17 18:00:00, 6547, 0.174
2018-10-17 18:00:16, 2018-10-17 18:59:40, 2018-10-17 19:00:16, 7015, 0.161
2018-10-17 19:00:00, 2018-10-17 19:59:58, 2018-10-17 20:00:00, 6450, 0.171
2018-10-17 20:00:00, 2018-10-17 20:59:59, 2018-10-17 21:00:00, 5749, 0.160
2018-10-17 21:00:00, 2018-10-17 21:59:32, 2018-10-17 22:00:00, 5362, 0.154
2018-10-17 22:00:00, 2018-10-17 22:59:44, 2018-10-17 23:00:00, 4748, 0.140
2018-10-17 23:00:00, 2018-10-17 23:59:58, 2018-10-18 00:00:00, 4124, 0.121
